Total:10
#index, WNID, ObjID, standard y-height, standard S.D. for y-height, nickname
1,02880940,bec41cc7f631e00b1bf40e92cbe8569f,0.02,0.01,bowl
2,03938244,2873ef9354972727b376ecd25749b977,0.05,0.02,pillow
3,04099429,59389aac7b1ea9b09b28f5f9cf8893b5,0.015,0.005,missile
4,02924116,eb073520d0c4db4d346f9a49ab523ba7,0.05,0.025,bus
5,02924116,6b5c172c49f15064e550942ea36e5443,0.05,0.025,redBus
6,03928116,bd586b69c27f05c8fcb3c6c0ffedec6,0.02,0.01,blackPiano
7,03928116,4935addf7de12539c273f5d1e0123211,0.02,0.01,greyPiano
8,03928116,ac47e870aee0ecf5c4dbe872a948b23,0.02,0.01,redPiano
9,04099429,56c13d294f8afb1ffb88d148e845f82e,0.01,0.005,greenMissile
10,02801938,c1abb91a5a9e2ea36d0c80f3bebb5ec0,0.01,0.005,box
end
#1,02691156,7f2d03635180db2137678474be485ca,0.06,0.03,aeroplane
